url_core,insularity_media,N_url,max_party,N_party,rel_party
campaign-archive,0.905689624601444,71,LREM,68,0.000490284437074156
reforme-retraite,0.905172697031914,148,LREM,137,0.000987778939399401
medialot,0.904099301426472,74,LR,22,0.000613274607643632
tv83,0.90373591988971,74,LREM,70,0.000504704567576337
leberry,0.903471824505347,87,MoDem,27,0.0015823712125652
clicanoo,0.901615029202208,116,LR,103,0.00287124020851337
tumblr,0.89878614566562,266,Misc.,149,0.00932415519399249
magcentre,0.8983178219016,51,LR,30,0.00083628355587768
aisnenouvelle,0.895901017034118,85,MoDem,48,0.00281310437789369
corsenetinfos,0.894216603880209,137,LREM,122,0.000879627960633044
infos-dijon,0.894130117108372,71,LREM,67,0.000483074371823065
presseocean,0.893714092846359,54,MoDem,17,0.000996307800504015
valeursactuelles,0.888541352308357,452,RN,125,0.0395569620253165
courrierdelouest,0.888421821318091,102,MoDem,33,0.00193400925980191
objectifgard,0.885628059562518,209,MoDem,59,0.00345777413116099
larepubliquedespyrenees,0.880094304451235,105,PS,58,0.00391653724086704
sendinblue,0.879455093058124,63,FI,14,0.00160440064176026
humanite,0.873048399929051,315,DVG,133,0.0314569536423841
parlement-ouvert,0.8699018775048,183,LREM,175,0.00126176141894084
over-blog,0.86937225727518,571,RN,135,0.0427215189873418
linfo,0.867836236537953,138,DVG,25,0.00591296121097446
opex360,0.865811976944224,59,LREM,54,0.000389343523558888
medium,0.864078192832383,214,UDI,16,0.00494437577255871
richardferrand,0.863087261856456,55,UDI,2,0.000618046971569839
imageshack,0.860875954694428,62,PS,10,0.0006752650415288
larep,0.85102281163704,124,LR,70,0.00195132829704792
paris-normandie,0.84830535963784,288,Agir,50,0.0153704272978789
lejsl,0.847972832523559,129,PS,41,0.00276858667026808
apple,0.846796258616616,124,MoDem,57,0.00334056144874875
franceantilles,0.840415368019687,74,Misc.,41,0.0025657071339174
lemamouth,0.835251544582474,55,MoDem,7,0.00041024438844283
ambafrance,0.834586145425389,53,LREM,47,0.000338873066801255
mjt,0.830891590469816,97,LREM,78,0.000562385089585061
citoyens,0.829765949298305,61,UDI,6,0.00185414091470952
education,0.828386531543504,187,PS,29,0.00195826862043352
list-manage,0.827514778812736,63,LR,16,0.000446017896468096
cohesion-territoires,0.825918237037123,172,Misc.,49,0.00306633291614518
delegationrenaissance,0.824382706529328,199,LREM,177,0.00127618154944302
associations,0.823687832886746,69,MoDem,10,0.000586063412061185
defense,0.815899278473375,67,LREM,57,0.00041097371931216
paper,0.80755155900843,76,MoDem,11,0.000644669753267304
nicematin,0.800248085852247,251,LR,162,0.00451593120173947
en-marche,0.79738168498557,1112,LREM,995,0.00717401492483507
lechorepublicain,0.796892764432915,91,Agir,8,0.00245926836766062
vosgesmatin,0.794286826978884,57,LREM,46,0.000331663001550164
xn--franais-xxa,0.791220187648924,73,FI,20,0.00229200091680037
bienpublic,0.790823950882861,75,LREM,69,0.000497494502325246
oups,0.788766926084558,89,LREM,78,0.000562385089585061
zinfos974,0.788490402121808,103,LR,76,0.00211858500822346
granddebat,0.786451671619894,307,LREM,268,0.00193229748729226
actu-environnement,0.785169811522786,67,UDI,6,0.00185414091470952
lyonmag,0.783018422872993,68,Agir,6,0.00184445127574547
arretonslesviolences,0.782825858089531,58,LREM,52,0.000374923393056707
insee,0.780559119137305,97,PS,16,0.00108042406644608
impots,0.777337414142954,129,LREM,114,0.00082194743862432
atlantico,0.773602183222253,111,RN,17,0.00537974683544304
lepetitjournal,0.767045597445086,102,UDI,5,0.0015451174289246
tinyurl,0.764086041358623,82,MoDem,9,0.000527457070855067
tendanceouest,0.762076233818674,69,PCF,6,0.00165745856353591
