url_core,insularity_media,N_url,max_party,N_party,rel_party
raiplay,0.375345301286867,208,LN,67,0.00234298503287173
quotidiano,0.37401655722108,79,LN,30,0.00104909777591272
lastampa,0.353131312314699,1215,Misc.,202,0.0141575553686571
today,0.350580949268492,51,LN,14,0.0004895789620926
fanpage,0.349132173757303,490,IV,86,0.00498117578916884
tpi,0.347884324042793,93,IV,17,0.000984651028091515
instagram,0.32684890421445,5389,LN,1161,0.0406000839278221
dire,0.321686485679835,88,Misc.,13,0.000911129800953182
rainews,0.314440152980705,446,Misc.,72,0.00504625735912532
comune,0.313164520706316,75,Misc.,12,0.000841042893187553
la7,0.312845604198533,670,Misc.,101,0.00707877768432857
rai,0.307145534993219,235,PD,70,0.00211902887933644
google,0.303400672817606,348,FdI,42,0.00315836967965108
formiche,0.30198462676168,327,FI,90,0.00313687218988533
gazzetta,0.296806041783754,56,FI,12,0.000418249625318044
ansa,0.294580699872702,1420,LN,359,0.0125542033850888
camera,0.291163040639718,1289,PD,256,0.0077495913301447
bit,0.288545290216224,755,Misc.,109,0.0076394729464536
agi,0.286525292599033,229,FdI,28,0.00210557978643405
change,0.254733351493901,333,PD,84,0.00254283465520373
twitter,0.232207308036061,17723,IV,2366,0.137040254850854
sky,0.225394360379587,450,FI,85,0.00296260151266948
corriere,0.216131191764999,2689,IV,376,0.0217781639154359
youtube,0.19802441445243,9045,FdI,868,0.0652729733794556
facebook,0.191206013048107,90634,M5S,46763,0.510747285873435
tiscali,0.151838331231871,66,FdI,6,0.000451195668521582
