K,url_core,gini,N_url
25,foreignpolicy,0.888686600186949,1
25,neos,0.879875205144912,4
25,tagesspiegel,0.339114831278204,7
25,app,0.62788633998126,2
25,dossier,0.606147148379896,7
25,brandrede,0.80339474272196,5
25,unzensuriert,0.33457442985168,7
25,beatemeinl,0.494374117434397,22
25,tagesschau,0.409920456800828,6
25,global2000,0.879220692042771,1
25,pinknews,1,1
25,klimareporter,0.569909208103618,3
25,agenda-austria,0.668071763460484,3
25,bizeps,0.433444210030128,4
25,gehoertgebloggt,0.467529735436954,6
25,informationsfreiheit,0.702235427007696,1
25,spoe,0.612800254649253,5
25,europa,1,2
25,fob,0.636980970407429,6
25,wiwo,0.787734469363816,1
25,zoom,0.590409496475361,1
25,pagesix,1,1
25,junos,0.727610567343987,1
25,rechnungshof,0.73601966461878,1
25,bazonline,0.771119117116201,3
25,prometheusinstitut,0.77756298445202,1
25,dgb,0.448240150241961,2
25,zurueckzudengruenen,0.675408738565138,4
25,der-postillon,0.679934183176551,3
25,linkedin,0.843664915151679,1
25,stopptdierechten,0.814256222441712,1
25,mymonk,0.816691687828443,1
25,beigewum,0.752167719613057,1
25,metacommunication,0.72025966547267,1
25,energypeace,0.788725597517085,1
25,ichvermeideplastik,0.876000400444303,1
25,jetzt,0.717127695212688,1
25,wikipedia,0.663697367792546,4
25,gruene,0.466720893373767,6
25,idealismprevails,0.695855031455514,1
25,msn,0.683260927517107,3
25,medico,0.853503502135118,1
25,anfdeutsch,0.837780115139566,1
25,reuters,0.983139378967265,1
25,amnesty,0.995503544812299,1
25,fairlassen,0.793321869423847,1
25,tvn,0.928657104800624,1
25,steiermark,0.851059727684671,1
25,fastcompany,1,1
25,trendingtopics,0.742960837802221,1
25,linz-gegen-rechts,0.774632016429642,1
25,armutskonferenz,0.658676730778025,2
25,ga,0.801826052844652,1
25,doew,0.741386580048292,1
25,ams,0.710653398992514,2
25,oegb,0.720338002824738,3
25,zackzack,0.651562872808678,2
25,epochtimes,0.55409067419347,4
25,ggg,0.828671175243798,1
25,boku,0.661458045556523,1
25,jungefreiheit,0.53041530262371,2
25,andreaskollross,0.665687751499505,4
25,wienerin,0.591513917084058,3
25,monatsrevue,0.624800045325144,2
25,brandstaetter-tv,0.52407627363713,4
25,vfgh,0.784567149850922,1
25,spooe,0.874010735999802,2
25,ilmanifesto,1,1
25,bka,0.714181293027618,1
25,s3.amazonaws.com,0.996114412407389,1
25,change,0.897407277723583,4
25,juedische,0.988109237979205,1
25,kinderfreunde,0.768260892860034,4
25,cnn,0.961097387471498,1
25,esiweb,0.934283909907399,1
25,focus,0.472395384360505,7
25,transatlantic-takes,0.76014353236568,1
25,rp-online,0.775504265625854,2
25,verfassungsblog,0.731907473745213,1
25,zdf,0.794984508601393,2
25,noizz,0.653919794602692,1
25,t-online,0.906444392279831,1
25,mittellaendische,0.677768791481919,1
25,dw,0.66178552068005,1
25,moment,0.466356352280228,2
25,finanzen,0.792656590598911,2
25,aidshilfe,0.805224979426327,1
