party_short,topic,Score
UP,T27.the,0.543885018342037
PSOE,T27.the,0.539197291713608
Cs,T27.the,0.503753178093668
PP,T27.the,0.333881762032929
PSC-PSOE,T27.the,0.220534518641809
ERC-S,T27.the,0.0561698709828363
PsdeG-PSOE,T27.the,0.431664477657239
JxCat-JUNTS,T27.the,0.568105285583089
ECP-GUAYEM EL CANVI,T27.the,0.50073124523744
EAJ-PNV,T27.the,0.0965584082718649
ERC-CATSÍ,T27.the,0.282932418631236
EH Bildu,T27.the,0.014753578355113
VOX,T28.libertad,0.752560887415199
UP,T28.libertad,0.122776633823693
PSOE,T28.libertad,0.155496884555655
Cs,T28.libertad,0.463282656461864
PP,T28.libertad,0.602784462165338
PSC-PSOE,T28.libertad,0.117223377907092
ERC-S,T28.libertad,0.104079769882669
PsdeG-PSOE,T28.libertad,0.157419574540201
JxCat-JUNTS,T28.libertad,0.0156901468381517
ECP-GUAYEM EL CANVI,T28.libertad,0.137153990661635
EAJ-PNV,T28.libertad,0
ERC-CATSÍ,T28.libertad,0.061102622152891
EH Bildu,T28.libertad,0.0462847986291651
VOX,T29.izquierda,0.522082489820204
UP,T29.izquierda,0.408086335850933
PSOE,T29.izquierda,0.465702074675704
Cs,T29.izquierda,0.369938059905898
PP,T29.izquierda,0.340254432028041
PSC-PSOE,T29.izquierda,0.508186270549634
ERC-S,T29.izquierda,0.456769089162294
PsdeG-PSOE,T29.izquierda,0.436583729258891
JxCat-JUNTS,T29.izquierda,0.513336908008693
ECP-GUAYEM EL CANVI,T29.izquierda,0.544329866261668
EAJ-PNV,T29.izquierda,0.0779503956081425
ERC-CATSÍ,T29.izquierda,0.521160410896054
EH Bildu,T29.izquierda,0.502036045502986
VOX,T30.guardia,0.542067694172845
UP,T30.guardia,0.37803289345364
PSOE,T30.guardia,0.329905464847928
Cs,T30.guardia,0.537821749220924
PP,T30.guardia,0.512398241427575
PSC-PSOE,T30.guardia,0.368083091713821
ERC-S,T30.guardia,0.485634623573214
PsdeG-PSOE,T30.guardia,0.250195767344214
JxCat-JUNTS,T30.guardia,0.17486484187307
ECP-GUAYEM EL CANVI,T30.guardia,0.18088902967157
EAJ-PNV,T30.guardia,0.175075888033155
ERC-CATSÍ,T30.guardia,0.507847658480934
EH Bildu,T30.guardia,0.565812225889215
