Country,source_country,topic_country,party_short,source,source_rel,topic,topic_rel,N_urls,rel_urls,size,size_rel
Netherlands,0.526239057637016,0.197205071790628,CDA,0.405091575312323,-0.121147482324693,0.133995904454985,-0.0632091673356426,124,0.898550724637681,431639,0.0955694837632907
Netherlands,0.526239057637016,0.197205071790628,CU,0.537590792197383,0.0113517345603674,0.141329098836757,-0.0558759729538701,91,0.659420289855073,246465,0.0545699828229596
Netherlands,0.526239057637016,0.197205071790628,D66,0.414626551488661,-0.111612506148355,0.106140222519425,-0.0910648492712022,114,0.826086956521739,668987,0.148120865432346
Netherlands,0.526239057637016,0.197205071790628,DENK,0.60343937590472,0.0772003182677044,0.301516555783592,0.104311483992965,69,0.5,68670,0.0152042712776769
Netherlands,0.526239057637016,0.197205071790628,FvD,0.779189629916848,0.252950572279832,0.30626774644713,0.109062674656502,47,0.340579710144928,52461,0.0116154255933917
Netherlands,0.526239057637016,0.197205071790628,GL,0.449802826811893,-0.0764362308251226,0.151238150703124,-0.0459669210875031,108,0.782608695652174,636662,0.140963765256856
Netherlands,0.526239057637016,0.197205071790628,PVV,0.536565963588213,0.0103269059511973,0.211985287375229,0.014780215584601,108,0.782608695652174,552198,0.122262533726382
Netherlands,0.526239057637016,0.197205071790628,PvdA,0.445712574712541,-0.0805264829244746,0.203130449319592,0.00592537752896405,108,0.782608695652174,415627,0.0920242559826272
Netherlands,0.526239057637016,0.197205071790628,PvdD,0.518194207553094,-0.00804485008392164,0.294026954329978,0.0968218825393507,86,0.623188405797102,249724,0.0552915602234831
Netherlands,0.526239057637016,0.197205071790628,SGP,0.69737362832133,0.171134570684314,0.182882609721171,-0.0143224620694563,70,0.507246376811594,42282,0.00936168629915151
Netherlands,0.526239057637016,0.197205071790628,SP,0.430502355984509,-0.0957367016525066,0.162856492341876,-0.0343485794487511,115,0.833333333333333,676022,0.149678489554066
Netherlands,0.526239057637016,0.197205071790628,VVD,0.434471946548029,-0.0917671110889866,0.126603628675275,-0.0706014431153521,121,0.876811594202899,368004,0.0814800152507675
Spain,0.702793636047932,0.209089355447632,Cs,0.698925164716048,-0.00386847133188428,0.133132193997244,-0.0759571614503881,84,0.43298969072165,460632,0.0522237957304854
Spain,0.702793636047932,0.209089355447632,EAJ-PNV,0.85292511490414,0.150131478856208,0.397098726214489,0.188009370766856,38,0.195876288659794,14363,0.0016283939849532
Spain,0.702793636047932,0.209089355447632,ECP-GUAYEM EL CANVI,0.798369099931587,0.0955754638836547,0.193257906089716,-0.0158314493579161,51,0.262886597938144,66597,0.00755038322188458
Spain,0.702793636047932,0.209089355447632,EH Bildu,0.871654520186397,0.168860884138465,0.304422858488689,0.0953335030410568,38,0.195876288659794,41634,0.00472022245836814
Spain,0.702793636047932,0.209089355447632,ERC-CATSÍ,0.748405091061856,0.0456114550139237,0.220945679377557,0.0118563239299246,70,0.360824742268041,68468,0.00776250639572343
Spain,0.702793636047932,0.209089355447632,ERC-S,0.7738092652653,0.0710156292173677,0.199524734060353,-0.00956462138727948,70,0.360824742268041,89241,0.0101176291590342
Spain,0.702793636047932,0.209089355447632,JxCat-JUNTS,0.816650869777987,0.113857233730055,0.296873785493222,0.0877844300455893,59,0.304123711340206,19781,0.00224265553271317
Spain,0.702793636047932,0.209089355447632,PP,0.47276383671702,-0.230029799330912,0.131970054883147,-0.0771193005644849,159,0.819587628865979,2597031,0.294436375348952
Spain,0.702793636047932,0.209089355447632,PSC-PSOE,0.616274876581441,-0.0865187594664914,0.143130373403325,-0.0659589820443077,115,0.592783505154639,503353,0.0570672559707685
Spain,0.702793636047932,0.209089355447632,PSOE,0.480164020951408,-0.222629615096524,0.151652504507058,-0.057436850940574,159,0.819587628865979,2196479,0.249024103019983
Spain,0.702793636047932,0.209089355447632,PsdeG-PSOE,0.791801550434454,0.0890079143865217,0.243453920091426,0.0343645646437933,63,0.324742268041237,127629,0.0144698388850235
Spain,0.702793636047932,0.209089355447632,UP,0.580270995338632,-0.1225226407093,0.152002727568393,-0.0570866278792396,119,0.61340206185567,995326,0.112844313267947
Spain,0.702793636047932,0.209089355447632,VOX,0.63430286275685,-0.0684907732910823,0.150696156644602,-0.0583931988030306,127,0.654639175257732,1639813,0.185912527024164
Switzerland,0.548201889986271,0.178542647768287,BDP,0.654589872629413,0.106387982643142,0.205306014933668,0.026763367165381,52,0.477064220183486,61850,0.0393224459642201
Switzerland,0.548201889986271,0.178542647768287,CVP,0.521807310078213,-0.0263945799080578,0.0945598503868922,-0.0839827973813945,83,0.761467889908257,175703,0.111706899325002
Switzerland,0.548201889986271,0.178542647768287,EVP,0.814419460812755,0.266217570826484,0.382496777016641,0.203954129248354,27,0.247706422018349,10474,0.00665906708212192
Switzerland,0.548201889986271,0.178542647768287,FDP,0.511193804239016,-0.0370080857472549,0.155390730713866,-0.0231519170544203,78,0.715596330275229,100379,0.0638180728123274
Switzerland,0.548201889986271,0.178542647768287,GLP,0.513840838493844,-0.0343610514924269,0.14214109811652,-0.0364015496517666,80,0.73394495412844,241331,0.15343128871449
Switzerland,0.548201889986271,0.178542647768287,GPS,0.473673211485754,-0.0745286785005169,0.151452901204674,-0.0270897465636124,86,0.788990825688074,229581,0.145960977638021
Switzerland,0.548201889986271,0.178542647768287,SP,0.447709213639802,-0.100492676346469,0.0942423560189292,-0.0843002917493575,94,0.862385321100918,440895,0.280308323579544
Switzerland,0.548201889986271,0.178542647768287,SVP,0.44838140851137,-0.0998204814749009,0.202751453755103,0.0242088059868158,86,0.788990825688074,312680,0.198792924884274
